position_id,member_code,status,upline_id,upline_code,referrer_id,referrer_code,self_pt,active,force_active,parent_source
1087,40431001,autoship,1418,82179501,1418,82179501,0,1,1,SAME
1455,86820601,active,1087,40431001,1134,44504701,150,1,0,DIFF
1157,47015001,withdrawn,1455,86820601,1455,86820601,0,0,0,SAME
822,12409201,withdrawn,1157,47015001,1157,47015001,0,0,0,SAME
823,12409202,withdrawn,822,12409201,822,12409201,0,0,0,SAME
824,12409203,withdrawn,822,12409201,822,12409201,0,0,0,SAME
1456,86820602,active,1455,86820601,1455,86820601,150,1,0,SAME
908,19666401,active,1456,86820602,1456,86820602,150,1,0,SAME
896,18625501,active,908,19666401,908,19666401,150,1,0,SAME
909,19666402,withdrawn,908,19666401,908,19666401,0,0,0,SAME
994,28293901,active,909,19666402,909,19666402,150,1,0,SAME
1405,80041701,withdrawn,994,28293901,994,28293901,0,0,0,SAME
956,24979001,active,908,19666401,908,19666401,150,1,0,SAME
1071,39235701,active,908,19666401,908,19666401,0,0,0,SAME
1182,49397101,withdrawn,908,19666401,908,19666401,0,0,0,SAME
1408,80512401,withdrawn,908,19666401,908,19666401,0,0,0,SAME
980,27257101,withdrawn,1456,86820602,1456,86820602,0,0,0,SAME
998,28802201,active,1456,86820602,1456,86820602,150,1,0,SAME
999,28802202,active,998,28802201,998,28802201,150,1,0,SAME
874,16083301,active,999,28802202,999,28802202,300,1,0,SAME
1132,44283401,withdrawn,874,16083301,874,16083301,0,0,0,SAME
1227,56748401,withdrawn,874,16083301,874,16083301,0,0,0,SAME
924,21177601,active,999,28802202,999,28802202,0,0,0,SAME
1190,50152201,active,999,28802202,999,28802202,150,1,0,SAME
1488,89491901,lapsed,1190,50152201,1190,50152201,0,0,0,SAME
1284,64432701,active,999,28802202,999,28802202,150,1,0,SAME
1308,66767001,active,999,28802202,999,28802202,150,1,0,SAME
847,14420501,withdrawn,1308,66767001,1308,66767001,0,0,0,SAME
944,22885101,withdrawn,1308,66767001,1308,66767001,0,0,0,SAME
1085,40277001,active,1308,66767001,1308,66767001,0,0,0,SAME
955,24879301,withdrawn,1085,40277001,1085,40277001,0,0,0,SAME
1067,38563301,withdrawn,1085,40277001,1085,40277001,0,0,0,SAME
1521,93017801,withdrawn,1085,40277001,1085,40277001,0,0,0,SAME
1407,80296301,active,1308,66767001,1308,66767001,0,0,0,SAME
1369,73542001,withdrawn,999,28802202,999,28802202,0,0,0,SAME
1425,83011301,active,999,28802202,999,28802202,0,0,0,SAME
1000,28802203,withdrawn,998,28802201,998,28802201,0,0,0,SAME
1001,28802204,withdrawn,998,28802201,998,28802201,0,0,0,SAME
1002,28802205,withdrawn,998,28802201,998,28802201,0,0,0,SAME
1263,62012801,autoship,998,28802201,998,28802201,0,0,0,SAME
1072,39274401,withdrawn,1263,62012801,1263,62012801,0,0,0,SAME
1264,62012804,withdrawn,1263,62012801,1263,62012801,0,0,0,SAME
2051,62012802,withdrawn,1263,62012801,1263,62012801,0,0,0,SAME
1093,40742701,withdrawn,2051,62012802,2051,62012802,0,0,0,SAME
